,Name,Website,Phone,Address,Location,City,State,Rating,Reviews
82,Gentle Dental Center,,+1 212-663-6800,"693 Columbus Ave, New York, NY 10025, United States","Q2RJ+CJ New York, USA", New York,NY,3.4,155
83,New York Dentist - Dr Samuel Rudick and Associates,drrudick.com,+1 212-757-5749,"119 W 57th St #1420, New York, NY 10019, United States","Q28C+3R New York, USA", New York,NY,4.8,189
84,EmblemHealth Family Dental Practice,emblemhealth.com,+1 518-869-1044,"1873 Western Ave, Albany, NY 12203, United States",, Albany,NY,2.8,15
85,Dr. Lewis Gross DDS,holistic-dentists.com,+1 212-732-2200,"17 Park Pl, New York, NY 10007, United States",, New York,NY,4.3,40
86,Coxsackie Dental Arts,coxsackiedentist.com,+1 518-731-8008,"12077 Rte 9W W, Coxsackie, NY 12192, United States",, Coxsackie,NY,4.5,99
87,Coxsackie Dental Arts,coxsackiedentist.com,+1 518-731-8008,"12077 Rte 9W W, Coxsackie, NY 12192, United States","95C9+Q9 Coxsackie, New York, USA", Coxsackie,NY,4.5,99
88,NYU College of Dentistry,dental.nyu.edu,+1 212-998-9800,"345 E 24th St, New York, NY 10010, United States",, New York,NY,3.6,744
89,Aspen Dental,aspendental.com,+1 518-267-3272,"446 Fairview Ave Ste 100, Hudson, NY 12534, United States",, Hudson,NY,4.0,164
90,Salvatore Dental,salvatoredental.com,+1 518-899-6068,"127 Dunning St, Ballston Spa, NY 12020, United States","X6C5+C9 Ballston Spa, New York, USA", Ballston Spa,NY,4.9,"1,046"
91,The New York Center for Cosmetic Dentistry,,,"128 E 71st St #2, New York, NY 10021, United States",, New York,NY,,
92,Arch Dental,archdentalofmanhattan.com,+1 212-477-4330,"3 Washington Square Village Apt 1D, New York, NY 10012, United States","P2H2+5P New York, USA", New York,NY,4.9,235
93,"Fashion District Dental: Justin Rashbaum, DMD",fashiondistrictdental.com,+1 212-368-0639,"1410 Broadway Suite 3004, New York, NY 10018, United States","Q237+77 New York, USA", New York,NY,4.9,47
94,Aspen Dental,aspendental.com,+1 315-785-9620,"20991 Arsenal St, State Rte 3, Watertown, NY 13601, United States",, Watertown,NY,4.0,332
95,"Alex Gause, DDS",aestheticdentistryofmanhattan.com,+1 917-675-7468,"133 E 58th St #1201, New York, NY 10022, United States",, New York,NY,4.4,38
96,"Dr. Mazen Natour, DMD",natourdmd.com,+1 212-518-6494,"30 Central Park S #10d, New York, NY 10019, United States","Q27F+XX New York, USA", New York,NY,5.0,74
97,New York Oral & Maxillofacial Surgery & Dental Implant Center,new-york-oral-surgery.com,+1 646-681-7068,"800B 5th Ave Suite 1, New York, NY 10065, United States","Q28H+68 New York, USA", New York,NY,4.2,5
98,Aspen Dental,aspendental.com,+1 518-842-9500,"4930 NY-30 Ste 100, Amsterdam, NY 12010, United States",, Amsterdam,NY,4.1,323
99,Livingart Dentistry,centralparkdentists.com,+1 516-260-4415,"25 Central Park West #1t, New York, NY 10023, United States",, New York,NY,4.9,276
100,W Dental,wdentalnyc.com,+1 212-939-9399,"706 St Nicholas Ave, New York, NY 10031, United States","R3F4+P7 New York, USA", New York,NY,4.8,155
101,Town Center Dental of LaGrange,towncenterdental.com,+1 845-486-4572,"1110 State Rte 55 #107, Lagrangeville, NY 12540, United States","M5CX+GF Lagrangeville, New York, USA", Lagrangeville,NY,4.8,427
103,Perth Dental Office,perthdentaloffice.com,+1 518-843-0200,"5010 NY-30, Amsterdam, NY 12010, United States","XR57+84 Amsterdam, New York, USA", Amsterdam,NY,4.2,5
104,Thyme Dental Care,thymedentalcare.com,+1 212-688-3472,"57 W 57th St #702, New York, NY 10019, United States","Q27F+PC New York, USA", New York,NY,4.9,218
105,Putnam Dental Associates - A Dental365 Company,godental365.com,+1 845-316-0377,"2435 US-6 Suite 7, Brewster, NY 10509, United States","C927+V7 Brewster, New York, USA", Brewster,NY,4.9,221
106,Chelsea Pediatric Dentistry,chelseapediatricdentistry.com,+1 212-243-5437,"220 W 26th St, New York, NY 10001, United States","P2W3+FX New York, USA", New York,NY,5.0,109
107,Center for Dental Excellence: Edward J Prus DDS,drprusdds.com,+1 845-227-7787,"2529 NY-52 #1, Hopewell Junction, NY 12533, United States","H636+V3 Hopewell Junction, New York, USA", Hopewell Junction,NY,4.8,59
108,Better Living through Dentistry : Manhattan,implantnyc.com,+1 212-724-6280,"155 W 68th St #228, New York, NY 10023, United States","Q2G8+FX New York, USA", New York,NY,4.9,290
109,Lauren Becker DDS,doctorlaurenbecker.com,+1 929-284-3944,"1182 Broadway 4th floor, New York, NY 10001, United States","P2W6+6J New York, USA", New York,NY,5.0,236
110,Lake Hill Dental Care,lakehilldentalcare.com,+1 518-992-7791,"163 Lake Hill Rd, Burnt Hills, NY 12027, United States",, Burnt Hills,NY,4.9,482
111,Best Dental Center for Dentistry,bestdentalbklyn.com,+1 718-745-8500,"7502 Ridge Blvd, Brooklyn, NY 11209, United States",, Brooklyn,NY,4.9,171
112,Wappingers Falls Dental Arts,wfdentalarts.com,+1 845-297-0757,"1323 US-9 #209, Wappingers Falls, NY 12590, United States","H3HQ+HX Wappingers Falls, New York, USA", Wappingers Falls,NY,4.8,310
113,Dental,,,"19 W 44th St #314, New York, NY 10036, United States",, New York,NY,,
115,Billings Dental Care,billingsdentalcareny.com,+1 845-223-3966,"2411 NY-82, Lagrangeville, NY 12540, United States","M6GW+RJ Lagrangeville, New York, USA", Lagrangeville,NY,5.0,139
117,Aspen Dental,aspendental.com,+1 315-445-9400,"3425 Erie Blvd E, Dewitt, NY 13214, United States",, Dewitt,NY,4.1,309
118,Aspen Dental,aspendental.com,+1 315-445-9400,"3425 Erie Blvd E, Dewitt, NY 13214, United States","2WWJ+Q9 Dewitt, New York, USA", Dewitt,NY,4.1,309
119,JBL New York City,jblnyc.com,+1 212-734-6111,"923 5th Ave, New York, NY 10021, United States","Q2FM+7H New York, USA", New York,NY,4.9,257
